 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,004.tiff,9.318,13.983,0.599,6.961,911,0,168.690,1.365,5.000,0.200,1.000
2,004.tiff,7.454,7.722,1.000,3.861,1167,17,135.000,2.730,1.000,1.000,1.000
3,004.tiff,7173.036,526.850,0.325,161.179,1771,95,10.739,81.620,2.412,0.415,0.672
4,004.tiff,2111.470,203.674,0.640,75.578,1349,94,20.072,45.050,1.608,0.622,0.866
5,004.tiff,532.993,106.263,0.593,41.765,1923,88,101.310,18.403,2.578,0.388,0.842
6,004.tiff,18.636,14.314,1.000,6.105,1141,96,153.435,4.095,1.236,0.809,0.909
7,004.tiff,37.272,21.705,0.994,9.844,1170,106,33.690,5.461,1.643,0.609,0.930
8,004.tiff,33.545,20.106,1.000,8.741,1146,110,128.660,6.105,1.475,0.678,0.857
9,004.tiff,5046.657,394.883,0.407,132.531,1808,156,11.889,69.803,2.486,0.402,0.760
10,004.tiff,40.999,21.705,1.000,8.741,1021,172,38.660,6.826,1.101,0.908,0.936
11,004.tiff,80.135,33.289,0.909,12.210,810,176,26.565,9.556,1.154,0.867,0.896
12,004.tiff,3548.314,388.841,0.295,146.929,500,252,138.013,52.420,3.447,0.290,0.570
13,004.tiff,46.590,23.636,1.000,9.844,1085,265,123.690,6.826,1.293,0.773,0.926
14,004.tiff,540.447,86.820,0.901,29.311,371,362,117.759,25.641,1.115,0.897,0.928
15,004.tiff,163.998,64.647,0.493,29.533,1680,391,146.310,9.466,4.264,0.235,0.762
16,004.tiff,19508.272,923.413,0.287,222.957,47,514,15.994,177.565,1.287,0.777,0.658
17,004.tiff,31.681,22.836,0.763,9.844,1865,430,123.690,6.437,1.786,0.560,0.739
18,004.tiff,39.136,30.696,0.522,11.743,690,461,35.538,7.726,1.643,0.609,0.700
19,004.tiff,11047.482,563.475,0.437,192.024,176,538,147.779,110.767,1.808,0.553,0.746
20,004.tiff,35.409,22.036,0.916,8.634,1811,523,161.565,6.826,1.214,0.824,0.809
21,004.tiff,85.726,39.880,0.677,15.979,935,525,160.017,9.103,1.777,0.563,0.821
22,004.tiff,739.853,109.987,0.769,39.800,478,597,59.036,27.028,1.631,0.613,0.898
23,004.tiff,1170.347,181.032,0.449,56.120,377,602,138.945,36.158,1.801,0.555,0.743
24,004.tiff,469.630,83.759,0.841,32.132,219,644,77.735,19.112,1.591,0.629,0.926
25,004.tiff,9690.773,573.128,0.371,152.438,736,644,141.180,116.996,1.355,0.738,0.738
26,004.tiff,7.454,9.653,1.000,4.317,988,813,161.565,2.730,1.468,0.681,0.800
27,004.tiff,14.909,12.383,1.000,5.792,1664,839,45.000,4.095,1.229,0.814,0.941
28,004.tiff,13.045,14.314,0.800,5.629,911,954,104.036,4.095,1.387,0.721,0.737
29,004.tiff,3.727,6.591,1.000,3.053,1705,1050,116.565,1.365,2.000,0.500,1.000
30,004.tiff,11.182,10.453,1.000,4.922,1124,1075,123.690,2.730,1.500,0.667,1.000
31,004.tiff,25125.194,1005.298,0.312,290.695,555,1207,5.389,147.919,1.772,0.564,0.726
32,004.tiff,26.091,20.905,0.750,8.634,282,1166,71.565,4.884,1.896,0.527,0.778
33,004.tiff,33.545,26.366,0.606,10.397,385,1250,156.801,4.095,2.507,0.399,0.857
34,004.tiff,46.590,35.688,0.460,15.979,811,1273,70.017,4.966,3.830,0.261,0.725
35,004.tiff,22.363,15.913,1.000,6.826,1575,1285,126.870,4.095,1.333,0.750,1.000
36,004.tiff,5594.558,340.358,0.607,120.024,1391,1451,70.741,73.313,1.635,0.612,0.866
37,004.tiff,44.727,25.566,0.860,11.584,420,1485,135.000,6.757,1.685,0.594,0.889
